,especialidad,promedio
0,Alergia e inmunología,8.43
1,Alergia e inmunología,6.7
2,Alergia e inmunología,8.29
3,Anatomía patológica,6.83
4,Anatomía patológica,6.11
5,Anatomía patológica,8.6
6,Anatomía patológica,6.8
7,Anatomía patológica,7.93
8,Anatomía patológica,7.44
9,Anatomía patológica,7.86
10,Anatomía patológica,6.74
11,Anatomía patológica,6.67
12,Anatomía patológica,9.14
13,Anatomía patológica,7.43
14,Anatomía patológica,8.23
15,Anatomía patológica,6.59
16,Anatomía patológica,4.8
17,Anatomía patológica,8.98
18,Anatomía patológica,7.51
19,Anatomía patológica,7.52
20,Anatomía patológica,7.36
21,Anatomía patológica,6.65
22,Anatomía patológica,6.7
23,Anatomía patológica,7.81
24,Anatomía patológica,7.99
25,Anatomía patológica,7.13
26,Anatomía patológica,7.53
27,Anatomía patológica,7.22
28,Anatomía patológica,5.91
29,Anatomía patológica,8.38
30,Anatomía patológica,7.72
31,Anatomía patológica,9.27
32,Anatomía patológica,8.28
33,Anatomía patológica,7.41
34,Anatomía patológica,6.98
35,Anatomía patológica,8.0
36,Anatomía patológica,6.68
37,Anatomía patológica,7.22
38,Anatomía patológica,7.91
39,Anatomía patológica,7.71
40,Anatomía patológica,7.58
41,Anatomía patológica,7.8
42,Anatomía patológica,7.24
43,Anatomía patológica,6.52
44,Anatomía patológica,6.63
45,Anatomía patológica,8.7
46,Anatomía patológica,8.02
47,Anatomía patológica,5.5
48,Anatomía patológica,8.2
49,Anatomía patológica,9.05
50,Anatomía patológica,7.94
51,Anatomía patológica,8.22
52,Anatomía patológica,7.27
53,Anestesiología,
54,Anestesiología,8.41
55,Anestesiología,7.95
56,Anestesiología,6.72
57,Anestesiología,6.24
58,Anestesiología,8.12
59,Anestesiología,4.9
60,Anestesiología,8.25
61,Anestesiología,8.54
62,Anestesiología,7.36
63,Anestesiología,5.98
64,Anestesiología,8.22
65,Anestesiología,8.4
66,Anestesiología,7.04
67,Anestesiología,7.09
68,Anestesiología,7.29
69,Anestesiología,7.9
70,Anestesiología,8.02
71,Anestesiología,5.33
72,Anestesiología,6.87
73,Anestesiología,5.93
74,Anestesiología,6.43
75,Anestesiología,7.88
76,Anestesiología,8.07
77,Anestesiología,7.36
78,Anestesiología,7.44
79,Anestesiología,8.49
80,Anestesiología,6.11
81,Anestesiología,8.2
82,Anestesiología,7.62
83,Anestesiología,8.12
84,Anestesiología,8.3
85,Anestesiología,6.26
86,Anestesiología,6.07
87,Anestesiología,8.98
88,Anestesiología,6.9
89,Anestesiología,8.65
90,Anestesiología,6.45
91,Anestesiología,7.8
92,Anestesiología,7.21
93,Anestesiología,5.11
94,Anestesiología,7.58
95,Anestesiología,7.44
96,Anestesiología,8.58
97,Anestesiología,7.47
98,Anestesiología,9.82
99,Anestesiología,7.5
100,Anestesiología,8.33
101,Anestesiología,8.73
102,Anestesiología,8.21
103,Anestesiología,6.5
104,Anestesiología,8.65
105,Anestesiología,8.7
106,Anestesiología,6.89
107,Anestesiología,8.22
108,Anestesiología,8.65
109,Anestesiología,6.78
110,Anestesiología,7.59
111,Anestesiología,5.9
112,Anestesiología,7.3
113,Anestesiología,7.69
114,Anestesiología,6.23
115,Anestesiología,8.27
116,Anestesiología,7.26
117,Anestesiología,7.85
118,Anestesiología,6.42
119,Anestesiología,5.82
120,Anestesiología,9.13
121,Anestesiología,6.63
122,Anestesiología,7.86
123,Anestesiología,8.38
124,Anestesiología,7.96
125,Anestesiología,8.43
126,Anestesiología,8.12
127,Anestesiología,8.84
128,Anestesiología,6.81
129,Anestesiología,8.65
130,Anestesiología,8.84
131,Anestesiología,6.64
132,Anestesiología,8.0
133,Anestesiología,8.79
134,Anestesiología,8.35
135,Anestesiología,7.99
136,Anestesiología,8.12
137,Anestesiología,7.47
138,Anestesiología,4.4
139,Anestesiología,7.2
140,Anestesiología,9.14
141,Anestesiología,7.3
142,Anestesiología,6.95
143,Anestesiología,8.6
144,Anestesiología,6.91
145,Anestesiología,8.41
146,Anestesiología,6.76
147,Anestesiología,7.13
148,Anestesiología,7.7
149,Anestesiología,8.28
150,Anestesiología,7.96
151,Anestesiología,8.1
152,Anestesiología,8.44
153,Anestesiología,7.65
154,Anestesiología,6.31
155,Anestesiología,7.94
156,Anestesiología,7.7
157,Anestesiología,7.95
158,Anestesiología,6.92
159,Anestesiología,7.34
160,Anestesiología,7.67
161,Anestesiología,6.06
162,Anestesiología,7.16
163,Anestesiología,6.67
164,Anestesiología,7.28
165,Anestesiología,6.67
166,Anestesiología,8.54
167,Anestesiología,6.41
168,Anestesiología,7.29
169,Anestesiología,8.83
170,Anestesiología,6.28
171,Anestesiología,7.06
172,Anestesiología,6.04
173,Anestesiología,7.51
174,Anestesiología,7.72
175,Anestesiología,9.28
176,Anestesiología,7.03
177,Anestesiología,7.68
178,Anestesiología,7.09
179,Anestesiología,7.73
180,Anestesiología,6.96
181,Anestesiología,7.2
182,Anestesiología,6.27
183,Anestesiología,7.02
184,Anestesiología,8.24
185,Anestesiología,7.2
186,Anestesiología,7.13
187,Anestesiología,7.66
188,Anestesiología,8.25
189,Anestesiología,7.44
190,Anestesiología,9.62
191,Anestesiología,7.38
192,Anestesiología,8.4
193,Anestesiología,7.06
194,Anestesiología,7.22
195,Anestesiología,6.77
196,Anestesiología,7.63
197,Anestesiología,7.95
198,Anestesiología,8.92
199,Anestesiología,5.29
200,Anestesiología,7.94
201,Anestesiología,7.86
202,Anestesiología,7.23
203,Anestesiología,7.95
204,Anestesiología,7.51
205,Anestesiología,7.85
206,Anestesiología,7.32
207,Anestesiología,8.97
208,Anestesiología,7.23
209,Anestesiología,7.84
210,Anestesiología,5.55
211,Anestesiología,7.41
212,Anestesiología,
213,Anestesiología,8.36
214,Anestesiología,8.19
215,Anestesiología,6.42
216,Anestesiología,8.2
217,Anestesiología,7.46
218,Anestesiología,8.37
219,Anestesiología,5.97
220,Anestesiología,7.35
221,Anestesiología,8.43
222,Anestesiología,7.28
223,Anestesiología,5.78
224,Anestesiología,6.93
225,Anestesiología,7.12
226,Anestesiología,8.18
227,Anestesiología,8.37
228,Anestesiología,8.51
229,Anestesiología,9.07
230,Anestesiología,5.82
231,Anestesiología,5.53
232,Anestesiología,7.79
233,Anestesiología,8.73
234,Anestesiología,7.51
235,Anestesiología,8.0
236,Anestesiología,8.21
237,Anestesiología,7.66
238,Anestesiología,8.42
239,Anestesiología,8.66
240,Anestesiología,7.8
241,Anestesiología,5.29
242,Anestesiología,7.4
243,Anestesiología,8.7
244,Anestesiología,7.97
245,Anestesiología,7.77
246,Anestesiología,8.59
247,Anestesiología,9.07
248,Anestesiología,7.58
249,Anestesiología,7.49
250,Anestesiología,8.12
251,Anestesiología,9.18
252,Anestesiología,7.62
253,Anestesiología,7.29
254,Anestesiología,8.07
255,Anestesiología,4.4
256,Anestesiología,8.93
257,Anestesiología,7.0
258,Anestesiología,7.15
259,Anestesiología,5.45
260,Anestesiología,7.07
261,Anestesiología,7.77
262,Anestesiología,6.6
263,Anestesiología,6.95
264,Anestesiología,8.26
265,Anestesiología,5.92
266,Anestesiología,6.76
267,Anestesiología,6.0
268,Anestesiología,6.81
269,Anestesiología,8.19
270,Anestesiología,8.11
271,Anestesiología,7.61
272,Anestesiología,5.92
273,Anestesiología,8.75
274,Anestesiología,8.6
275,Anestesiología,6.98
276,Anestesiología,8.48
277,Anestesiología,7.09
278,Anestesiología,7.57
279,Anestesiología,6.58
280,Anestesiología,8.49
281,Anestesiología,9.3
282,Anestesiología,8.21
283,Anestesiología,7.79
284,Anestesiología,7.53
285,Anestesiología,7.9
286,Anestesiología,8.6
287,Anestesiología,7.31
288,Anestesiología,7.05
289,Anestesiología,8.02
290,Anestesiología,6.2
291,Anestesiología,8.16
292,Anestesiología,8.89
293,Anestesiología,8.12
294,Anestesiología,8.15
295,Anestesiología,6.74
296,Anestesiología,8.28
297,Anestesiología,7.17
298,Anestesiología,6.86
299,Anestesiología,7.0
300,Anestesiología,5.99
301,Anestesiología,6.92
302,Anestesiología,8.44
303,Anestesiología,5.88
304,Anestesiología,7.1
305,Anestesiología,7.94
306,Anestesiología,7.65
307,Anestesiología,7.95
308,Anestesiología,8.52
309,Anestesiología,8.26
310,Anestesiología,7.08
311,Anestesiología,6.98
312,Anestesiología,7.98
313,Anestesiología,8.16
314,Anestesiología,7.42
315,Anestesiología,6.27
316,Anestesiología,7.2
317,Anestesiología,8.65
318,Anestesiología,7.6
319,Anestesiología,4.8
320,Anestesiología,6.76
321,Anestesiología,6.57
322,Anestesiología,8.72
323,Anestesiología,7.77
324,Anestesiología,8.37
325,Anestesiología,7.08
326,Anestesiología,6.89
327,Anestesiología,8.02
328,Anestesiología,7.25
329,Anestesiología,7.79
330,Anestesiología,7.93
331,Anestesiología,9.3
332,Anestesiología,8.63
333,Anestesiología,6.25
334,Anestesiología,8.0
335,Anestesiología,6.34
336,Anestesiología,7.52
337,Anestesiología,7.21
338,Anestesiología,7.46
339,Anestesiología,5.2
340,Anestesiología,7.0
341,Anestesiología,6.93
342,Anestesiología,6.74
343,Anestesiología,7.3
344,Anestesiología,7.6
345,Anestesiología,8.3
346,Anestesiología,7.11
347,Anestesiología,7.44
348,Anestesiología,6.0
349,Anestesiología,5.94
350,Anestesiología,7.95
351,Anestesiología,7.06
352,Anestesiología,7.13
353,Anestesiología,9.02
354,Anestesiología,7.41
355,Anestesiología,8.27
356,Anestesiología,7.96
357,Anestesiología,7.37
358,Anestesiología,7.53
359,Anestesiología,7.28
360,Anestesiología,6.21
361,Anestesiología,6.5
362,Anestesiología,8.04
363,Anestesiología,6.98
364,Anestesiología,8.77
365,Anestesiología,8.1
366,Anestesiología,8.78
367,Anestesiología,8.96
368,Anestesiología,8.7
369,Anestesiología,7.19
370,Anestesiología,6.7
371,Anestesiología,6.57
372,Anestesiología,5.64
373,Anestesiología,6.67
374,Anestesiología,7.15
375,Anestesiología,7.0
376,Anestesiología,6.48
377,Anestesiología,7.8
378,Anestesiología,6.28
379,Anestesiología,7.98
380,Anestesiología,6.91
381,Anestesiología,7.23
382,Anestesiología,7.48
383,Anestesiología,
384,Anestesiología,8.9
385,Anestesiología,5.89
386,Anestesiología,8.42
387,Anestesiología,7.51
388,Anestesiología,8.14
389,Anestesiología,7.05
390,Anestesiología,7.7
391,Anestesiología,6.33
392,Anestesiología,7.23
393,Anestesiología,7.49
394,Anestesiología,8.0
395,Cardiología,8.5
396,Cardiología,6.64
397,Cardiología,7.78
398,Cardiología,6.74
399,Cardiología,8.76
400,Cardiología,8.43
401,Cardiología,7.08
402,Cardiología,7.96
403,Cardiología,6.07
404,Cardiología,5.4
405,Cardiología,8.83
406,Cardiología,8.9
407,Cardiología,5.6
408,Cardiología,7.38
409,Cardiología,8.14
410,Cardiología,6.62
411,Cardiología,7.77
412,Cardiología,8.06
413,Cardiología,7.29
414,Cardiología,4.9
415,Cardiología,7.6
416,Cardiología,7.43
417,Cardiología,7.95
418,Cardiología,5.5
419,Cardiología,9.19
420,Cardiología,6.1
421,Cardiología,7.94
422,Cardiología,7.09
423,Cardiología,6.26
424,Cardiología,6.0
425,Cardiología,8.93
426,Cardiología,9.0
427,Cardiología,8.44
428,Cardiología,7.98
429,Cardiología,8.68
430,Cardiología,8.18
431,Cardiología,5.98
432,Cardiología,8.62
433,Cardiología,6.27
434,Cardiología,
435,Cardiología,8.88
436,Cardiología,7.72
437,Cardiología,7.3
438,Cardiología,8.38
439,Cardiología,8.78
440,Cardiología,6.55
441,Cardiología,7.52
442,Cardiología,7.56
443,Cardiología,
444,Cardiología,8.43
445,Cardiología,8.0
446,Cardiología,6.67
447,Cardiología,5.6
448,Cardiología,8.74
449,Cardiología,4.2
450,Cardiología,8.02
451,Cardiología,7.47
452,Cardiología,6.23
453,Cardiología,5.4
454,Cardiología,7.38
455,Cardiología,8.97
456,Cardiología,5.8
457,Cardiología,7.0
458,Cardiología,6.5
459,Cardiología,4.7
460,Cardiología,8.3
461,Cardiología,8.6
462,Cardiología,7.69
463,Cardiología,6.2
464,Cardiología,9.03
465,Cardiología,7.3
466,Cardiología,8.8
467,Cardiología,8.0
468,Cardiología,8.0
469,Cardiología,7.53
470,Cardiología,7.44
471,Cardiología,8.01
472,Cardiología,8.95
473,Cardiología,9.15
474,Cardiología,9.28
475,Cardiología,9.2
476,Cardiología,6.2
477,Cardiología,7.67
478,Cardiología,6.3
479,Cardiología,6.9
480,Cardiología,6.57
481,Cardiología,7.6
482,Cardiología,5.6
483,Cardiología,6.01
484,Cardiología,5.3
485,Cardiología,3.9
486,Cardiología,6.69
487,Cardiología,6.46
488,Cardiología,6.82
489,Cardiología,8.81
490,Cardiología,8.28
491,Cardiología,8.26
492,Cardiología,8.08
493,Cardiología,9.31
494,Cardiología,8.13
495,Cardiología,5.85
496,Cardiología,8.2
497,Cardiología,6.9
498,Cardiología,7.97
499,Cardiología,5.35
500,Cardiología,5.51
501,Cardiología,8.0
502,Cardiología,7.73
503,Cardiología,6.83
504,Cardiología,8.84
505,Cardiología,9.02
506,Cardiología,9.0
507,Cardiología,7.58
508,Cardiología,5.73
509,Cardiología,7.91
510,Cardiología,8.37
511,Cardiología,6.44
512,Cardiología,6.7
513,Cardiología,8.12
514,Cardiología,7.85
515,Cardiología,6.0
516,Cardiología,8.64
517,Cardiología,8.45
518,Cardiología,7.31
519,Cardiología,5.67
520,Cardiología,8.2
521,Cardiología,6.71
522,Cardiología,6.65
523,Cardiología,7.83
524,Cardiología,9.24
525,Cardiología,
526,Cardiología,8.63
527,Cardiología,8.53
528,Cardiología,7.7
529,Cardiología,5.4
530,Cardiología,8.49
531,Cardiología,4.3
532,Cardiología,8.34
533,Cardiología,9.31
534,Cardiología,8.85
535,Cardiología,6.47
536,Cardiología,7.5
537,Cardiología,5.45
538,Cardiología,
539,Cardiología,8.35
540,Cardiología,8.48
541,Cardiología,5.64
542,Cardiología,7.74
543,Cardiología,7.55
544,Cardiología,5.6
545,Cardiología,6.67
546,Cardiología,8.65
547,Cardiología,7.33
548,Cardiología,6.6
549,Cardiología,5.93
550,Cardiología,6.91
551,Cardiología,7.35
552,Cardiología,8.06
553,Cardiología,9.12
554,Cardiología,8.1
555,Cardiología,5.17
556,Cardiología,6.47
557,Cardiología,7.0
558,Cardiología,6.81
559,Cardiología,7.68
560,Cardiología,8.8
561,Cardiología,7.45
562,Cardiología,6.2
563,Cardiología,5.4
564,Cardiología,8.26
565,Cardiología,6.14
566,Cardiología,7.18
567,Cardiología,6.5
568,Cardiología,8.12
569,Cardiología,7.2
570,Cardiología,5.22
571,Cardiología,8.16
572,Cardiología,8.24
573,Cardiología,8.26
574,Cardiología,9.24
575,Cardiología,5.76
576,Cardiología,4.5
577,Cardiología,8.37
578,Cardiología,5.3
579,Cardiología,8.9
580,Cardiología,8.13
581,Cardiología,8.81
582,Cardiología,4.9
583,Cardiología,5.91
584,Cardiología,6.85
585,Cardiología,9.39
586,Cardiología,9.27
587,Cardiología,7.53
588,Cardiología,6.67
589,Cardiología,7.81
590,Cardiología,9.52
591,Cardiología,8.26
592,Cardiología,8.26
593,Cardiología,7.03
594,Cardiología,8.46
595,Cardiología,8.93
596,Cardiología,6.37
597,Cardiología,8.45
598,Cardiología,6.7
599,Cardiología,8.16
600,Cardiología,7.68
601,Cardiología,7.38
602,Cardiología,7.2
603,Cardiología,8.12
604,Cardiología,9.38
605,Cardiología,7.09
606,Cardiología,3.87
607,Cardiología,7.77
608,Cardiología,8.66
609,Cardiología,7.89
610,Cardiología,8.92
611,Cardiología,7.33
612,Cardiología,6.45
613,Cardiología,7.42
614,Cardiología,8.49
615,Cardiología,7.88
616,Cardiología,8.7
617,Cardiología,6.89
618,Cardiología,9.1
619,Cardiología,6.76
620,Cardiología,7.13
621,Cardiología,8.59
622,Cardiología,6.32
623,Cardiología,7.25
624,Cardiología,7.23
625,Cardiología,8.47
626,Cardiología,9.4
627,Cardiología,7.74
628,Cardiología,7.49
629,Cardiología,8.68
630,Cardiología,7.48
631,Cardiología,9.2
632,Cardiología,9.28
633,Cardiología,7.11
634,Cardiología,7.44
635,Cardiología,8.59
636,Cardiología,7.61
637,Cardiología,8.65
638,Cardiología,7.69
639,Cardiología,6.42
640,Cardiología,5.06
641,Cardiología,8.38
